Org ragione sociale;Studente classe;Org email;telefono;Org sede provincia;Org sede indirizzo;Progetto titolo;Progetto descrizione
CASAESPORT DI LAURA BELTRAME;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@casaesport.it;0452226408;VR;VIA GALILEI,8 - VERONA; LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n\n;Gestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n\n
ARCESE TRASPORTI SPA;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;recruiting@arcese.com;0454573216;TN;VIA ALDO MORO 95 - ARCO;LOG05 Tecnico della vendita e della distribuzione \n\n;Assistono gli specialisti nella implementazione delle strategie di vendita delle imprese, nel controllo della efficienza della rete distributiva e commerciale e nel monitoraggio delle vendite, applicano le procedure fissate per raccogliere informazioni sulle vendite e sulle attività di distribuzione, per analizzarle, organizzarle e presentarle in maniera rilevante e significativa a specialisti e responsabili del settore\n\n\n
TMB SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;tmb@tmbvac.it;0458774299;VR;VIA CA'NOVA ZAMPIERI ,5 - SAN GIOVANNI LUPATOTO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
BLUE MILK SRL;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;andrea@bluemilk.it;;;Via Staffali 11/E - ;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
NST AUTOMATION SRLS;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;nst@nstautomation.it;0458203319;VR;STRADA DELL'ALPO  7 - VERONA;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n
OFFICINA CAILOTTO SRL;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;tiziano.martinelli@officinecailotto.it;0458624211;VR;VIA SOMMACAMPAGNA 59 - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
BLUE MILK SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;andrea@bluemilk.it;;;Via Staffali 11/E - ;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
INTESYS  S.R.L.;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;alessandro.cortiana@intesys.it;0458205513;VR;VIA ROVEGGIA, 3 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
4 SERVICE SOLUTION SRL;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@4servicesolution.it;0452050220;VR;VIA GIOVANNI PASCOLI 4 - AFFI;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
C.L. TECH SRL;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@cltechtrade.com;0458766758;VR;PIAZZA CARLO ZINELLI 1 - SAN GIOVANNI LUPATOTO;ELE07 - ASSEMBLATORE DI SCHEDE ELETTRONICHE (PCB)\n\n\n;La figura ha il suo focus su assemblaggio e saldatura a stagno di circuiti e schede elettroniche, con possibilità di relativo collaudo.\n\n\n
ROBIT SAS DI BOVO MAURIZIO & C.;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;robit@robit.com;;VR;VIA ANTONIO MILANI 18 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
FAIRMAT SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@fairmat.com;0458012030;VR;STRADONE SAN FERMO ,21 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
DELTA ERRE SAFE S.R.L.;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;ongaro@deltaerresafe.it;0459251754;VR;VIA TICINO, 9A/9B - SAN GIOVANNI LUPATOTO;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
ASSOCIAZIONE VERONA FABLAB;3CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
PEROZENI SRL;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;personale1@perozeni.it;0457050735;VR;VIA LORENZI, 44 - BOSCO CHIESANUOVA;CML03 TECNICO PER L’ASSISTENZA TECNICA A LINEE DI PRODUZIONE AUTOMATIZZATE\n\n\n\n\n\n;Gestisce il corretto funzionamento di linee di produzione automatizzate dal punto di vista dei tempi e della qualità produttiva, assicurando la manutenzione ordinaria e straordinaria\n\n\n\n\n\n
MAN TRUCK & BUS ITALIA SPA;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;elisa.disalvo@man.eu;0458299646;VR;VIA MONTE BALDO - DOSSOBUONO DI VILLAFRANCA ;ELE08 - ASSEMBLATORE/RIPARATORE DI PERSONAL COMPUTER - INSTALLATORE DI LAN\n\n\n;La figura si riferisce a un tecnico assemblatore PC, il quale, oltre a conoscere la logica di funzionamento dei personal computers, è in grado di installare e configurare i vari componenti, risolvere eventuali problemi relativi all’hardware e al software, scegliere i componenti adeguati per ottimizzare al meglio il PC e valutarne le prestazioni. Attua l'installazione, configurazione e manutenzione di reti informatiche locali.\n\n\n
ASSOCIAZIONE VERONA FABLAB;3AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;Progetti di Alternanza Scuola-Lavoro classi Terze\n\n;Esperienze di tirocinio presso soggetti ospitanti esterni per le classi 3^\n\n
BPS COMPUTER SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;stefania@bpscomputer.it;045549872;VR;PIAZZA UMBERTO I, 47 - SAN GIOVANNI LUPATOTO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
TH. KOHL S.R.L.;3AL TRASPORTI E LOGISTICA ART. LOGISTICA; info@thkohl.it;0456511811;VR;VIALE DELL'INDUSTRIA, 37 - BADIA CALAVENA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
OLMA DI DUSI RENATO;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@01mavr.it;;VR;VIA MONTE CAREGA 22/2 - SAN GIOVANNI LUPATOTO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
VALDOTECH S.A.S.;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;domenico.zantedeschi@gmail.com;0456800068;VR;VIA GIOVANNI FALCONE,1 - SAN PIETRO IN CARIANO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
VALDOTECH S.A.S.;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;domenico.zantedeschi@gmail.com;0456800068;VR;VIA GIOVANNI FALCONE,1 - SAN PIETRO IN CARIANO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
BEDIGITAL S.R.L.;3AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@bedigital.it;0458352440;VR;VIA GINO BELTRAMINI 15/A - VERONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
NEXTFLOW SRLS;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@nextflow;;VR;VIA VERONA 22A - BUSSOLENGO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
ELECTRONIC SERVICE ITALIA S.R.L.;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@es-i.it;0456901425;VR;VIA DELLA SERENISSIMA, 8/1 - BOVOLONE;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
TECH ASSIST. SRLS;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@tech-assist.it;0452222884;VR;VIA ROMA 49 - SAN GIOVANNI LUPATOTO;ELE08 - ASSEMBLATORE/RIPARATORE DI PERSONAL COMPUTER - INSTALLATORE DI LAN\n\n\n;La figura si riferisce a un tecnico assemblatore PC, il quale, oltre a conoscere la logica di funzionamento dei personal computers, è in grado di installare e configurare i vari componenti, risolvere eventuali problemi relativi all’hardware e al software, scegliere i componenti adeguati per ottimizzare al meglio il PC e valutarne le prestazioni. Attua l'installazione, configurazione e manutenzione di reti informatiche locali.\n\n\n
LIBRERIA JOLLY DEL LIBRO DI DE SIGNORI CLAUDIO;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@libreriajolly.it;;VR;VIA UMBRIA 22 - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
START WEB DI MATTEO CANDIO;5AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@start-web.it;3337464084;VR;VIA G.MAZZINI 5A - OPPEANO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
RINALDI SIDERURGICA SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;rinsider@rinaldisiderurgica.it;0456303131;VR;VIA SPAGNA 17 - VILLAFRANCA DI VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
GRUPPO BERTOLASO SPA;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;aruffo@bertolaso.com;0442 450111;VR;VIA STAZIONE 760 - ZIMELLA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
CORRADI CARLO CARPENTERIA METALLICA;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;carpenteriametallicacorr@tin.it;0458802115;VR;VIA GIUSEPPE SILVESTRI 2 - VERONA;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
IDRAULICA CIVILE SRLS;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;;;VR;VIA LIGURIA, 47/A - SONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
ARCESE TRASPORTI SPA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;recruiting@arcese.com;0454573216;TN;VIA ALDO MORO 95 - ARCO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
ARCESE TRASPORTI SPA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;recruiting@arcese.com;0454573216;TN;VIA ALDO MORO 95 - ARCO;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
ISGROUP SRL;5EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;francesco.ongaro@isgroup.it;0454853232;VR;VICOLO MIRACOLI,1 - VERONA;;
TX LOGISTIK AG;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;s.avesani@txlogistik.eu;0458624614;BZ;PIAZZA WALTHER,22 - BOLZANO;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
TOLA & C. SRL;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;amministrazione@tolaimpianti.it;0458960332;VR;VIA DOSSOBUONO 56/1 - SOMMACAMPAGNA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
INTESYS  S.R.L.;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;alessandro.cortiana@intesys.it;0458205513;VR;VIA ROVEGGIA, 3 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
BE DIFFERENT SRL;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;hr@dodifferent.it;0458538775;VR;VIA A.DOMINUTTI,20 - VERONA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
ERMES SRL;3BL TRASPORTI E LOGISTICA ART. LOGISTICA;alessia@ermes-vr.it;045991245;VR;VIALE DEL LAVORO, 15/I - SAN MARTINO BUON ALBERGO;Progetti di Alternanza Scuola-Lavoro classi Terze\n\n;Esperienze di tirocinio presso soggetti ospitanti esterni per le classi 3^\n\n
DLL SYSTEM S.R.L.;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;diegofincato@dllsystem.it;3357294894;VR;VIA CACCIATORI DELLE ALPI, 11 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
MIOINDIRIZZO SRL;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@mioindirizzo.com;0459200030;VR;VIA ENRICO FERMI, 11/A - VERONA;TLC02 - Tecnico gestore di reti e di sistemi telematici\n\n;Le professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e manutenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n\n
