ID;TIPO_AZIENDA;RAGIONE_SOCIALE;COMUNE;PROVINCIA;STATO;INDIRIZZO;CAP;TELEFONO;EMAIL;SITO;N_DIPENDENTI;DATA_CONVENZIONE;INDIRIZZO;CODICE_ATECO;DESC_ATECO
13512;AZIENDA;A.ESSE IMPIANTI S.R.L.;SOMMACAMPAGNA;VR;ITALIA;VIA STELLA POLARE,16;37066;0458619000;info@aesseimpianti.it;www.aesseimpianti.it;;;ELETTRONICA;;
70436;AZIENDA;AGEC AZIENDA GESTIONE EDIFICI COMUNALI DEL COMUNE DI VERONA;VERONA;VR;ITALIA;VIA ENRICO NORIS 1;37100;0458051311;sezionepersonale@agec.it;;505;15-05-2019;;56.29.10;Mense
18857;ASSOCIAZIONE;A.P.S. CUCINAVERARTE;VERONA;VR;ITALIA;STRADA LA RIZZA, 651B;37125;3476772161;nicola.casadei@cucinaverarte.eu;;;;INFORMATICA;;
1416;AZIENDA;A.R. ELETTRONIC SAS DI RENON A. & C;BUSSOLENGO;VR;ITALIA;VIA DELL'INDUSTRIA,212;37012;0456703881;a.anna@arelettronic.com;www.arelectronic.com;;;ELETTRONICA;;
2223;AZIENDA;A.T.E. SRL;VIGASIO;VR;ITALIA;VIA DELL' INDUSTRIA, 2;37068;0457364500;ate@ate-srl.com;;65;;LOGISTICA;222999;
59571;AZIENDA;A.T.M. SAS DI AIANI CLAUDIO & C.;AFFI;VR;ITALIA;VIA CA'BALOTTA,1;37010;0457280255;info@atmsas.com;;10;;ELETTRONICA;25.11.00;Fabbricazione di strutture metalliche e parti assemblate di strutture
2323;AZIENDA;ABATEL SNC;VERONA;VR;ITALIA;VIA ARNO 2;37137;045862071;stevanoloris@abatel.it;http://www.abatel.it/;2;;TELECOMUNICAZIONI;46.43.10;Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video
79932;AZIENDA;ABC...STUDI SRL;VERONA;VR;ITALIA;VIA PONTE FLORIO 70/D;37100;0458868129;LPOLLINI@ABCSTUDI.COM;WWW.ABCSTUDI.COM;5;;ELETTRONICA;;
2306;AZIENDA;ABERFOND SRL;VERONA;VR;ITALIA;VIA PACINOTTI 34;37135;045500508;rita@aberfond.com;aberfond.com;15;;INFORMATICA;;
21978;AZIENDA;ABISIT SRL;VERONA;VR;ITALIA;L. SETTEMBRINI 8;37100;0458005608;info@absit.it;www.absit.it;4;;INFORMATICA;;
105361;AZIENDA;ABRASIVI ADRIA SRL;SANT'AMBROGIO DI VALPOLICELLA;VR;ITALIA;VIA DELL'INDUSTRIA,63;37015;0456864601;info@abrasiviadria.com;www.abrasiviadria.com;85;03-04-2018;LOGISTICA;20.59.4;Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e anti
60827;AZIENDA;ACCENTURE S.P.A.;MILANO;MI;ITALIA;VIA MAURIZIO QUADRO, 17;20100;;cristina.morazzoni@accenture.com;www.accenture.com;500;;INFORMATICA;;
22305;AZIENDA;ACCIAIERIE DI VERONA;OSOPPO;UD;ITALIA;ZONA INDUSTRIALE RIVOLI;33010;0458058515;riccardo.olivieri@pittini.it;;350;14-03-2018;ELETTRONICA;24.10.00;Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe
113867;AZIENDA;ACI SNC DI GANGI ELEONORA L.C.;LONATO DEL GARDA;BS;ITALIA;VIA ILARIA ALPI 10;25017;0309131025;eleonora.digangi@amatic.it;;7;;ELETTRONICA;26.11.09;Fabbricazione di altri componenti elettronici
34820;AZIENDA;ACLI PROVINCIALI DI VERONA;VERONA;VR;ITALIA;VIA SCRIMINARI 24A;37100;0459275000;martina.tommasi@acliverona.it;www.acliverona.it;4;24-05-2019;INFORMATICA;94.99.10;Attività di organizzazioni per la tutela degli interessi e dei diritti dei cittadini
6472;AZIENDA;ACRAM S.R.L.;SANT'AMBROGIO DI VALPOLICELLA;VR;ITALIA;LOC. PIGNA, 13;37010;0456835411;info@acram.it;http://www.acram.it;;;ELETTRONICA;;
11812;AZIENDA;ADAMI AUTOTRASPORTI S.P.A.;ARBIZZANO;VERONA;ITALIA;VIA VALPOLICELLA 74;37024;0458515111;info@adamitrasporti.com;www.adamitrasporti.com;;;LOGISTICA;;
63780;AZIENDA;ADAMI TECNICA BILIARDI SRL;VERONA;VR;ITALIA;VIA LAZZARETTO 83/A;37100;045528169;adamibiliardi@adamibiliardi.com;www.adamibiliardi.com;5;;;92.00.02;Gestione di apparecchi che consentono vincite in denaro funzionanti a moneta o a gettone
67569;AZIENDA;ADD VALUE S.P.A.;VERONA;VR;ITALIA;VIA PACINOTTI, 28;37135;0458282711;daniela.sarigu@addvalue.it;;;;INFORMATICA;;
115479;AZIENDA;AELLE DI ORIANA TODESCO;ZEVIO ;VR;ITALIA;VIA 1 MAGGIO 157;37059;045601438;oriana.todesco@gmail.com;aelleverona.it;;;INFORMATICA;;
1270;AZIENDA;AEMMETEL S.R.L.;VERONA;VR;ITALIA;VIA XXVIII GENNAIO, 27;37136;045500399;amministrazione@pec.aemmetel.com;www.aemmetel.com;5;;INFORMATICA;;
15053;ENTE PUBBLICO;AERONAUTICA - 3° STORMO VILLAFRANCA;VILLAFRANCA DI VERONA;VR;ITALIA;VIA CALURI 1;37069;0456332214;;;;;;;
105308;AZIENDA;AERRE SISTEMI ELETTRONICI;CASTELNUOVO DEL GARDA;VR;ITALIA;VIA PASQUE VERONESI;37014;3281334489;;;;;ELETTRONICA;;
1457;AZIENDA;AFTECH SAS DI FERRARI ALBERTO;VERONA;VR;ITALIA;VIA ANTONIO DA LEGNAGO;37141;0458840972;aftech@aftech.it;;;;COSTRUZIONE DEL MEZZO;;
113596;AZIENDA;AGRATI-FSP SRL;VERONA;VR;ITALIA;VIA SOMMACAMPAGNA 49A;37100;0458515811;info-fsp@agrati.com;;52;10-05-2019;LOGISTICA;46.74.1;Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta)
2251;AZIENDA;AGRICOLA ITALIANA ALIMENTARE  SPA;VERONA;VR;ITALIA;PIAZZALE APOLLINARE VERONESI, 1;36020;0458097511;;;695;;LOGISTICA;10.91.00;Produzione di mangimi per l'alimentazione degli animali da allevamento
6691;AZIENDA;AGRICOLA RIPARAZIONE S.N.C.;SANGUINETTO;VR;ITALIA;VIA CA DE MICHELI 62/A;37058;0442365290;info@agricolariparazione.it;;5;;COSTRUZIONE DEL MEZZO;33.12.60;Riparazione e manutenzione di trattori agricoli
114045;AZIENDA;AGRILAND 24 SRL;ALA;TN;ITALIA;CORSO PASSO BUOLE 5/A;38061;;info@agriland24.com;;2;27-05-2019;INFORMATICA;47.91.9;
49802;AZIENDA;AGRISERVICE 2016 SRL;SOMMACAMPAGNA;VR;ITALIA;VIA DELL'INDUSTRIA,33;37066;045515188;commerciale@agriservice2016.it;www.agriservicespa.it;12;;INFORMATICA;;
2196;AZIENDA;AGSM VERONA SPA;VERONA;VR;ITALIA;LUNGADIGE  GALTAROSSA, 8;37133;0458677266;marco.zanotto@agsm.it;http://www.agsm.it/;;;;;
21367;AZIENDA;AIDI SRL;BUTTAPIETRA;VR;ITALIA;VIALE DEL LAVORO 51;37060;0456660183;info@aidisrl.it;www.aidisrl.it;9;;INFORMATICA;466999;
16910;AZIENDA;AITEMA S.R.L.;VERONA;VR;ITALIA;STRADA DELL'ALPO, 64/E;37136;0458538002;info@aitema.com;;2;;INFORMATICA;;
114174;AZIENDA;AL.BO 2 SRL;VERONA;VR;ITALIA;STRADA DELLE TRINCEE 15A;37100;0458550775;info@albo2.it;;10;;ELETTRONICA;43.22.01;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
64320;AZIENDA;ALBA TECNOLOGY SOC COOP;VERONA;VR;ITALIA;VIALE DEL LAVORO 21;37100;0455112022;albatecnology@legalmail.it;;6;;LOGISTICA;38.75.96;
101273;AZIENDA;ALBI DI ALBI GIUSEPPE;SAN MARTINO BUON ALBERGO;VR;ITALIA;VIALE DEL LAVORO 17;37036;;albi@albi.it;www.camperallestimenti.it;0;;COSTRUZIONE DEL MEZZO;29.2;FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI
13632;AZIENDA;ALCOFER S.R.L.;VERONA;VR;ITALIA;VIA SALISBURGO, 5;37136;045500051;sara@alcofer.it;tuttoferramenta.it;;22-05-2019;INFORMATICA;;
11832;AZIENDA;ALDEBRA S.P.A.;VERONA;VR;ITALIA;VIA FERMI 13/C;37135;;michele.rubino@aldebra.com;www.aldebra.com/it/soluzioni-informatiche;;;INFORMATICA;;
13508;AZIENDA;ALFA SERVICE S.R.L.;SONA;VR;ITALIA;VIA LOMBARDIA, 5;37060;0458621181;costanzi@alfaservice.it;www.alfaservice.it;3;;INFORMATICA;;
2316;AZIENDA;ALL SERVICES  SRL;VERONA;VR;ITALIA;VIA DEL COMMERCIO, 10;37100;045504126;olent@all-services.it;http://www.all-services.it/;;;;;
95890;AZIENDA;ALOISI ANDREA;SOMMACAMPAGNA;VR;ITALIA;VIA DEGLI ALPINI 3;37066;3487650469;andrea.aloisi.94@alice.it;;;;;35.19.07;
43623;AZIENDA;ALPEGO S.P.A.;LONIGO;VI;ITALIA;VIA GIOVANNI E GIUSEPPE CENZATO,9;36045;0444646100;  valeria.zanin@alpego.com;www.alpego.com;86;;LOGISTICA;28.30.9;Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia
2258;AZIENDA;ALTURAS SISTEMI S.R.L.;VILLAFRANCA DI VERONA;VR;ITALIA;VIA VENEZIA, 1;37069;0456305279;amministrazione@alturas.it;www.alturas.it;;;INFORMATICA;;
64242;AZIENDA;AMBROSI IMPIANTI SNC;ERBE';VR;ITALIA;VIA DON GIOVANNI VERONESE 10;37060;0457325067;anbrosi-impianti@ambrosi-impianti.it;;4;;;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
65863;AZIENDA;AMBROSI MATTEO;VERONA;VR;ITALIA;VIALE DELL'INDUSTRIA;37135;3488561640;matteoambrosi@tiscali.it;;1;;;;
59353;AZIENDA;AMIA - AZIENDA MULTISERVIZI DI IGIENE AMBIENTALE DI VERONA;VERONA;VR;ITALIA;VIA BARTOLOMEO AVESANI 31;37135;0458063459;amia.verona@amiavr.it;www.amiavr.it;600;;;38.21.09;Trattamento e smaltimento di altri rifiuti non pericolosi
15821;AZIENDA;AMT AZIENDA MOBILITA' E TRASPORTI S.P.A.;VERONA;VR;ITALIA;VIA F. TORBIDO,1;37133;0452320025;info@amt.it;www.amt.it;53;27-05-2019;;52.21.25;
16151;AZIENDA;ANDERLONI ARREDAMENTI;VILLAFRANCA DI VERONA;VR;ITALIA;VIA DELL'ARTIGIANATO, 1;37069;0458600723;info@anderloniarredamenti.it;www.anderloniarredamenti.it;;;;;
43192;AZIENDA;ANDREA BURATO CONSULENZE INFORMATICHE;NEGRAR;VR;ITALIA;VIA VALPOLICELLA,35;37024;3467229679;a.b@andreaburato.it;;1;;;;
2299;AZIENDA;ANDREA GNESATO;VERONA;VR;ITALIA;PIZZA SAN VALENTINO 5;37125;3478197328;andrea@zeta.uno;www.zeta.uno;;;;;
1925;AZIENDA;ANDREA IMPIANTI DI TEZZA ANDREA;ROVERE';VR;ITALIA;VIA S. ROCCO, 1;37028;0457848100;info@andreaimpianti.com;;8;09-04-2018;;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
1555;AZIENDA;ANODALL EXTRUSION S.P.A.;TREVENZUOLO;VR;ITALIA;VIA DEL LAVORO, 1;37060;0457350600;claudio.dalfini@anodallgroup.com;www.anodallgroup.com;;;;;
113306;AZIENDA;ANS;SOMMACAMPAGNA;VR;ITALIA;VIA SABAINA 60;37066;0458960116;info@ansystem.eu;www.ansystem.eu;;;;95.11;Riparazione di computer e periferiche
2292;AZIENDA;ANT SRL;SAN MARTINO BUON ALBERGO;VR;ITALIA;VIA DELLA CONCORDIA 4;37036;045 878 1380;amministrazione@antsrl.eu;www.antsrl.eu;;;;;
60213;AZIENDA;ANTICA TRATTORIA DA BEPI SNC;MARANO DI VALPOLICELLA;VR;ITALIA;VIA VALPOLICELLA;37020;0457755001;vitozardini@gmail.com;www.anticatrattoriadabepi.it;;;;;
106775;AZIENDA;ANTICHITA' SAVI DI SAVI GIUSEPPE;VERONA;VR;ITALIA;VICOLO STELLA 5;37100;045596213;princethebest.70@gmail.com;;;;;;
105499;AZIENDA;ANTOLINI TRASPORTI SPEDIZIONI SRL;SAN PIETRO IN CARIANO;VR;ITALIA;VIA DANTE 3/5;37029;0457701422;paola@antolinitrasporti.it;;48;10-06-2019;;49.41;Trasporto di merci su strada
40881;AZIENDA;AP CONSULTING  S.R.L.;SAN MARTINO BUON ALBERGO;VR;ITALIA;VIA ARCHIMEDE, 10;37036;0456888530;amministrazione@apconsulting,net;www.apconsulting.net;10;;;62.02.00;Consulenza nel settore delle tecnologie dell'informatica
1429;AZIENDA;AQUEST SRL;S.GIOVANNI LUPATOTO;VR;ITALIA;PIAZZA ZINELLI 1;37057;0458752845;sara.pasquetto@aquest.it;;;;;;
2313;AZIENDA;ARALDO SRL;BOSCO CHIESANUOVA;VR;ITALIA;VIA CARCERERI, 22/A;37021;0457080485;amministrazione@araldoartedelgusto.it;http://www.araldoartedelgusto.it/;;;;;
6201;AZIENDA;ARBETTI MOTORS S.R.L.;VERONA;VR;ITALIA;STRADA DELLA GIARA, 7;37030;045522200;info@arbettimotors.it;;20;;;45.20.20;Riparazione di carrozzerie di autoveicoli
2319;AZIENDA;ARCA PROGETTI SRL;GREZZANA-STALLAVENA;VR;ITALIA;VIA SEGAI 8;37023;3496494709;giuseppe.nicotra@istruzioneverona.it;http://www.veia.it/;;;;;
1450;AZIENDA;ARCA SPA;VERONA;VR;ITALIA;VIA DELL'ARTIGIANATO 6B;37135;0458201755;magazzino@arcaricambi.it;www.arcaricambi.it;14;;;45.32;Commercio al dettaglio di parti e accessori di autoveicoli
2022;AZIENDA;ARCANET S.R.L.;SAN BONIFACIO;VR;ITALIA;LOC.  CROSARON, 18/C;37047;0456103766;amministrazione@arcanetservice.it;https://arcanetsrl.it/;;;;;
37198;AZIENDA;ARCESE TRASPORTI SPA;ARCO;TN;ITALIA;VIA ALDO MORO 95;38062;0454573216;recruiting@arcese.com;;919;23-05-2019;;49.41.00;Trasporto di merci su strada
66051;AZIENDA;ARCHITETTO QUIRINALI GIAMPAOLO;BOVOLONE;VR;ITALIA;VIA GARIBALDI 48;37051;0456901354;studioquirinali@gmail.com;www.giampaoloquirinali.com;;;;711100;
1591;AZIENDA;ARCHIVA S.R.L.;VILLAFRANCA DI VERONA;VR;ITALIA;VIA SPAGNA, 24;37069;045288000;stefano.amigliani@archivagroup.it;archivagroup.it;;;;;
13697;ENTE PUBBLICO;ARCHIVIO DI STATO;VERONA;VR;ITALIA;VIA SANTA TERESA, 6/12;37135;045594580;as-vr@beniculturali.it;http://www.archiviodistatoverona.beniculturali.it;;;;;
12342;AZIENDA;ARDA S.P.A.;PESCHIERA DEL GARDA;VR;ITALIA;STRADA DEI FRATI, 7;37019;0457550333;f.bonini@arda.it;www.arda.it;;;;;
2301;AZIENDA;ARDUINI & NERBOLDI;VERONA;VR;ITALIA;VIA DELLA MECCANICA 32;37139;0458515411;nicoletta.braga@eurodiesel.it;www.eurodiesel.it;50;02-02-2016;;;
99125;AZIENDA;ARDUINI E NERBOLDI SRL;VERONA;VR;ITALIA;VIA DELLA MECCANICA 32;37139;0458515450;;;57;20-05-2019;COSTRUZIONE DEL MEZZO;45.20.10;Riparazioni meccaniche di autoveicoli
13618;AZIENDA;AROMI S.R.L.;NEGRAR;VR;ITALIA;VIA CASETTE, 31;37024;0457111622;sara@aromicreativi.com;;;;;;
2271;AZIENDA;ARTE PASTAIA SRL;SAN MARTINO BUON ALBERGO;VR;ITALIA;VIA DEL LAVORO, 20;37036;0458781879;info@artepastaia.it;http://www.artepastaia.it/contatti.html;;;;;
140917;AZIENDA;ARTIGIANA NEW DI PERTILE RENATO;SAN BONIFACIO;VR;ITALIA;VIA A. VOLTA 4;37047;;artigiananew@virgilio.it;;;23-05-2019;ELETTRONICA;27.11;Fabbricazione di motori, generatori e trasformatori elettrici
101870;AZIENDA;ASD FOOTBALL FOR FUN;VERONA;VR;ITALIA;VIA CHIODA 38;37136;3490065685;gasfabio@yahoo.it;www.footballforfun.it;8;;;93.19.10;Enti e organizzazioni sportive, promozione di eventi sportivi
63036;AZIENDA;ASD NOI LA SORGENTE;VERONA;VR;ITALIA;VIA DEL QUADRATO 2;37100;3357325495;segreteria@asdnoisorgente.it;www.asdnoisorgente.it;;;;;
30851;ASSOCIAZIONE;ASD TEAM BMX VERONA;VERONA;VR;ITALIA;VIA BELVEDERE 151;37131;;lindaspiazzi@libero.it;;;;;;
63880;AZIENDA;ASS.BANCO ALIMENTARE DELVENETO ONLUS;VERONA;VR;ITALIA;VIA E.TORRICELLI 18;37139;045847929;info@veneto.bancoalimentare.it;www.bancoalimentare.it/it/veneto;2;;;960909;
2246;AZIENDA;ASSALI STEFEN SRL;ZEVIO;VR;ITALIA;VIA COPERNICO, 1;37059;0458731600;segreteria.direzione@assalistefen.com;http://www.assalistefen.com/ita/index.php;;03-12-2015;;;
34837;ASSOCIAZIONE;ASSOCIAZIONE 'VOLEREVOLARE ONLUS';CORREGGIO;RE;ITALIA;VIA FAZZANO 83;42015;3921089132;;;3;;;;
53753;AZIENDA;ASSOCIAZIONE NAZIONALE MUTILATI ED INVALIDI CIVILI DI VERONA;VERONA;VR;ITALIA;VIA SANTA MARIA ROCCA MAGGIORE;37100;045 8013437;;www.anmicverona.org;2;23-05-2019;INFORMATICA;;
114463;AZIENDA;ASSOCIAZIONE SPORTIVA DILETTANTISTICA;BUTTAPIETRA;VR;ITALIA;VIA GARIBALDI,17;37060;0456660996;;;;;;93;
55549;AZIENDA;ATIMAR SAS;SETTIMO MILANESE;MI;ITALIA;VIA CARDUCCI,38;20019;023286111;;;13;;;;
1382;AZIENDA;ATTUA S.R.L.;VERONA;VR;ITALIA;VIA ROVEGGIA, 43;37136;045/8271211;info@attua.it;www.attua.it;4;09-05-2019;;62.01;Produzione di software non connesso all'edizione
34250;AZIENDA;AUDIO SERVICE MULTIMEDIA DI COMPAROTTO STEFANO;S.GIOVANNI LUPATOTO;VR;ITALIA;VIA GARIBALDI,5/23;37057;045583440;audioservicevr.com;audioservicevr.com;1;;;;
1152;AZIENDA;AUDIO VIDEO VERONA;VERONA;VR;ITALIA;C.SO MILANO, 112;37138;045575599;info@audiovideoverona.191.it;;;;;;
18884;AZIENDA;AUDIOVIDEOTECNICA S.N.C.;CEREA;VR;ITALIA;VIA CALCARA 38B;37053;044280744;info@audiovideotecnica.it;www.audiovideotecnica.it;4;;;;
2179;AZIENDA;AUDIOVIDEOVERONA SERVICE SNC;SONA;VR;ITALIA;VIA PIEMONTE, 10;37060;045575599;info@audiovideoveronaservice.it;www.audiovideoveronaservice.it;;;;;
2277;ENTE PUBBLICO;AULSS 9  SCALIGERA VERONA;VERONA;VR;ITALIA;VIA DELLA VALVERDE, 42;37122;0458075511;direttore.formazione@aulss9.veneto.it;https://www.aulss9.veneto.it/;;30-05-2015;;;
49144;AZIENDA;AUTECHNO SAS;VILLAFRANCA DI VERONA;VR;ITALIA;VIA A.POIANI 8;37069;045512712;info@autechno.it;www.autechno.it;4;;;;AUTOMAZIONE INDUSTRIALE
1701;AZIENDA;AUTODESI SNC;BUSSOLENGO;VR;ITALIA;VIA I MAGGIO- ZONA ARTIGIANALE;37012;0456767488;stefano@autodesi.it;;;;;;
7525;AZIENDA;AUTOFFICINA DE TOGNI SRL;ZEVIO;VR;ITALIA;VIA G.CARDUCCI 52;37059;045545922;amministrazione@detogniauto.it;www.detogniauto.it;14;13-03-2019;;45.20.1;Riparazioni meccaniche di autoveicoli
11801;AZIENDA;AUTOFFICINA MARCAZZAN FLAVIO;SAN GIOVANNI ILARIONE;VR;ITALIA;VIA ALPONE 8;37035;0456550705;flavio.marcazzan68@gmail.com;;;;;452010;
2151;AZIENDA;AUTOFFICINA POIANA RAFFAELE;VERONA;VR;ITALIA;VIA DELLE COSTE,20;37138;045567440;officina.poiana@gmail.com;;;03-12-2015;;;
13637;AZIENDA;AUTOFFICINA R & B S.A.S;SONA;VR;ITALIA;VIA LIGURIA, 82;37060;0456090145;dallepezzesabina@gmail.com;;;;;;
143612;AZIENDA;AUTOFFICINA SGANZERLA MAURIZIO;SALIZZOLE;VR;ITALIA;VIA ISOLANA 664;37056;0456954002;mauriziosganz@gmail.com;;5;24-06-2019;;;
36663;AZIENDA;TURCO FEDERICO OFF.MECC RIPARAZIONI;SAN GIOVANNI LUPATOTO;VR;ITALIA;VIA MONTE CIMONE 7;37057;045546478;;;1;07-06-2019;;45.20.10;Riparazioni meccaniche di autoveicoli
15942;AZIENDA;AUTOMAH S.R.L.;ZEVIO;VR;ITALIA;VIA MAESTRI DEL LAVORO 18;37059;0456661770;Info@automah.it;www.automah.it;17;;;33.20.03;Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (inc
1954;AZIENDA;OFFICINA MECCANICA ELETTRAUTO F.LLI CHESINI C. E  V. SNC;PESCANTINA;VR;ITALIA;VIA CORNO MOZZO 14;37026;0456767409;officinachesini@libero.it;;5;27-05-2019;;45.20.1;Riparazioni meccaniche di autoveicoli
2204;AZIENDA;AUTOPRESTIGE SRL;VERONA;VR;ITALIA;CORSO VENEZIA, 97;37131;0452585743;matmiz98@gmail.com;www.autoprestigeverona.it;;;;;
116298;AZIENDA;AUTORICAMBI COSTA DI COSTA GIUSEPPE;RIBERA;AG;ITALIA;VIA CONCERIA, 8;92016;;;;;;;453200;
6968;AZIENDA;AUTORICAMBI RACING SRL;VERONA;VR;ITALIA;COLONELLO FINCATO 264;37131;045 528345;info@negrente.com;;;10-05-2019;;;
112771;AZIENDA;AUTORIPARAZIONI SGANZERLA MASSIMO;SALIZZOLE;VR;ITALIA;VIA ISOLANA 692;37056;0456954028;;;2;;;45.20.10;Riparazioni meccaniche di autoveicoli
140889;AZIENDA;AUTOSCUOLA ARENA DI MARTORANA BENEDETTO E C. SAS;VERONA;VR;ITALIA;VIA PO 25;37100;;autoscuolaarena@hotmail.com;;;23-05-2019;LOGISTICA;85.53;Attività delle scuole guida
7339;AZIENDA;AUTOTEAM SPA;LEGNAGO;VR;ITALIA;VIA MANTOVA 16/A;37045;044224800;graziano.ghirotti@autoteam.it;www.autoteam.it;70;;;45.11.01;Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri
141290;AZIENDA;AUTOTRASPORTI BOMMARTINI SRL;SOAVE;VR;ITALIA;VIA SERENISSIMA 50;37038;0456108311;bommartini@bommartini.it;www.bommartini.it;135;01-06-2019;;49.41;Trasporto di merci su strada
48640;AZIENDA;AUTOTRASPORTI CORSI GIUSEPPE;S.MARTINO B.A.;VR;ITALIA;VIA CORSO 2, 37036;37036;045990250;autotrasporticorsi@libero.it;;4;;;49.41.00;Trasporto di merci su strada
15940;AZIENDA;AUTOTRASPORTI CTV VERONA S.R.L.;ZEVIO;VR;ITALIA;VIA CARDUCCI 4A;37059;0458738818;amministrazione@ctvtrasporti.it;www.ctvtrasporti.it;;;;;
1487;AZIENDA;AUTOTRASPORTI DETO.VE SRL;BUTTAPIETRA;VR;ITALIA;VIA MARCONI7/A;37060;04518779038;info@detoveautotrasporti.it;;5;;;49.41;Trasporto di merci su strada
112940;AZIENDA;AUTOTRASPORTI TEZZA CLEMENTE SRL;GREZZANA;VR;ITALIA;VIA NICOLO'MARCOZENI 12;37023;045907434;info@tezzaautotrasporti.it;www.tezzaautotrasporti.it;18;10-05-2019;;49.41;Trasporto di merci su strada
15930;AZIENDA;AUTOTRASPORTI TURATTI;BUTTAPIETRA;VR;ITALIA;LARGO LAGORAI, 3;37060;0456150088;mamife@libero.it;;;;;;
2304;AZIENDA;AUTOTRASPORTI VARONE DOMENICO;BUTTAPIETRA;VR;ITALIA;VIA ISOLA DELLA SCALA;37060;0456660471;silvia@treviensrl.com;;;;;;
135166;AZIENDA;AUTO ZUG SERVICE SRLS;VERONA;VR;ITALIA;VIA NICCOLO' COPERNICO;37100;0458203341;autozugservice@gmail.com;;;02-05-2019;;;
2324;AZIENDA;AVESANI DARIO IMPIANTI ELETTRICI;CASELLE DI SOMMACAMPAGNA;VR;ITALIA;VIA VERONA, 32;37066;0458580031;avesani.dario@tiscali.it;http://www.impiantielettriciavesani.it/index.html;;15-02-2016;;;
75164;AZIENDA;AVV.ALBERTO POGGI;VERONA;VR;ITALIA;VICOLO GHIAIA,7;37122;0458065183;segreteria@lpsavvocati.com;;1;;;;
64265;AZIENDA;AVV.FRANCESCA PASETTO;S.PIETRO INCARIANO;VR;ITALIA;VIA DELLE PIEVE 63;37029;3282129760;;;;;;;
51167;AZIENDA;AVV.MIRKO ZAMBALDO;VERONA;VR;ITALIA;STRA.NE PORTA PALIO,68;37100;0458030278;studio.legale@zamik.it;;;;;;LEGALE
