TIPO_AZIENDA;RAGIONE_SOCIALE;SITO;N_DIPENDENTI;DATA_CONVENZIONE;CODICE_ATECO;DESC_ATECO
AZIENDA;ANTICA TRATTORIA DA BEPI SNC;www.anticatrattoriadabepi.it;;;;
AZIENDA;ANTICHITA' SAVI DI SAVI GIUSEPPE;;;;;
AZIENDA;ANTOLINI TRASPORTI SPEDIZIONI SRL;;48;10/06/2019;4941;Trasporto di merci su strada
AZIENDA;AP CONSULTING  S.R.L.;www.apconsulting.net;10;;620200;Consulenza nel settore delle tecnologie dell'informatica
AZIENDA;AQUEST SRL;;;;;
AZIENDA;ARALDO SRL;http://www.araldoartedelgusto.it/;;;;
AZIENDA;ARBETTI MOTORS S.R.L.;;20;;452020;Riparazione di carrozzerie di autoveicoli
AZIENDA;ARCA PROGETTI SRL;http://www.veia.it/;;;;
AZIENDA;ARCA SPA;www.arcaricambi.it;14;;4532;Commercio al dettaglio di parti e accessori di autoveicoli
AZIENDA;ARCANET S.R.L.;https://arcanetsrl.it/;;;;
AZIENDA;ARCESE TRASPORTI SPA;;919;23/05/2019;494100;Trasporto di merci su strada
AZIENDA;ARCHITETTO QUIRINALI GIAMPAOLO;www.giampaoloquirinali.com;;;711100;
AZIENDA;ARCHIVA S.R.L.;archivagroup.it;;;;
ENTE PUBBLICO;ARCHIVIO DI STATO;http://www.archiviodistatoverona.beniculturali.it;;;;
AZIENDA;ARDA S.P.A.;www.arda.it;;;;
AZIENDA;ARDUINI & NERBOLDI;www.eurodiesel.it;50;02/02/2016;;
AZIENDA;ARDUINI E NERBOLDI SRL;;57;20/05/2019;452010;Riparazioni meccaniche di autoveicoli
AZIENDA;AROMI S.R.L.;;;;;
AZIENDA;ARTE PASTAIA SRL;http://www.artepastaia.it/contatti.html;;;;
AZIENDA;ARTIGIANA NEW DI PERTILE RENATO;;;23/05/2019;2711;Fabbricazione di motori, generatori e trasformatori elettrici
AZIENDA;ASD FOOTBALL FOR FUN;www.footballforfun.it;8;;931910;Enti e organizzazioni sportive, promozione di eventi sportivi
AZIENDA;ASD NOI LA SORGENTE;www.asdnoisorgente.it;;;;
ASSOCIAZIONE;ASD TEAM BMX VERONA;;;;;
AZIENDA;ASS.BANCO ALIMENTARE DELVENETO ONLUS;www.bancoalimentare.it/it/veneto;2;;960909;
AZIENDA;ASSALI STEFEN SRL;http://www.assalistefen.com/ita/index.php;;03/12/2015;;
AZIENDA;ASSOCIAZIONE NAZIONALE MUTILATI ED INVALIDI CIVILI DI VERONA;www.anmicverona.org;2;23/05/2019;;
AZIENDA;ASSOCIAZIONE SPORTIVA DILETTANTISTICA;;;;93;
ASSOCIAZIONE;ASSOCIAZIONE VERONA FABLAB;www.veronafablab.it;3;08/01/2019;949920;Attività di organizzazioni che perseguono fini culturali, ricreativi e la coltivazione di hobby
ASSOCIAZIONE;ASSOCIAZIONE 'VOLEREVOLARE ONLUS';;3;;;
AZIENDA;ATIMAR SAS;;13;;;
AZIENDA;ATTUA S.R.L.;www.attua.it;4;09/05/2019;6201;Produzione di software non connesso all'edizione
AZIENDA;AUDIO SERVICE MULTIMEDIA DI COMPAROTTO STEFANO;audioservicevr.com;1;;;
AZIENDA;AUDIO VIDEO VERONA;;;;;
AZIENDA;AUDIOVIDEOTECNICA S.N.C.;www.audiovideotecnica.it;4;;;
AZIENDA;AUDIOVIDEOVERONA SERVICE SNC;www.audiovideoveronaservice.it;;;;
ENTE PUBBLICO;AULSS 9  SCALIGERA VERONA;https://www.aulss9.veneto.it/;;30/05/2015;;
AZIENDA;AUTECHNO SAS;www.autechno.it;4;;;AUTOMAZIONE INDUSTRIALE
AZIENDA;AUTO ZUG SERVICE SRLS;;;02/05/2019;;
AZIENDA;AUTODESI SNC;;;;;
AZIENDA;AUTOFFICINA DE TOGNI SRL;www.detogniauto.it;14;13/03/2019;45201;Riparazioni meccaniche di autoveicoli
AZIENDA;AUTOFFICINA MARCAZZAN FLAVIO;;;;452010;
AZIENDA;AUTOFFICINA POIANA RAFFAELE;;;03/12/2015;;
AZIENDA;AUTOFFICINA R & B S.A.S;;;;;
AZIENDA;AUTOFFICINA SGANZERLA MAURIZIO;;5;24/06/2019;;
AZIENDA;AUTOMAH S.R.L.;www.automah.it;17;;332003;Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (inc
AZIENDA;AUTOPRESTIGE SRL;www.autoprestigeverona.it;;;;
AZIENDA;AUTORICAMBI COSTA DI COSTA GIUSEPPE;;;;453200;
AZIENDA;AUTORICAMBI RACING SRL;;;10/05/2019;;
AZIENDA;AUTORIPARAZIONI SGANZERLA MASSIMO;;2;;452010;Riparazioni meccaniche di autoveicoli
AZIENDA;AUTOSCUOLA ARENA DI MARTORANA BENEDETTO E C. SAS;;;23/05/2019;8553;Attività delle scuole guida
AZIENDA;AUTOTEAM SPA;www.autoteam.it;70;;451101;Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri
AZIENDA;AUTOTRASPORTI BOMMARTINI SRL;www.bommartini.it;135;01/06/2019;4941;Trasporto di merci su strada
AZIENDA;AUTOTRASPORTI CORSI GIUSEPPE;;4;;494100;Trasporto di merci su strada
AZIENDA;AUTOTRASPORTI CTV VERONA S.R.L.;www.ctvtrasporti.it;;;;
AZIENDA;AUTOTRASPORTI DETO.VE SRL;;5;;4941;Trasporto di merci su strada
AZIENDA;AUTOTRASPORTI TEZZA CLEMENTE SRL;www.tezzaautotrasporti.it;18;10/05/2019;4941;Trasporto di merci su strada
AZIENDA;AUTOTRASPORTI TURATTI;;;;;
AZIENDA;AUTOTRASPORTI VARONE DOMENICO;;;;;
AZIENDA;AVESANI DARIO IMPIANTI ELETTRICI;http://www.impiantielettriciavesani.it/index.html;;15/02/2016;;
AZIENDA;AVV.ALBERTO POGGI;;1;;;
AZIENDA;AVV.FRANCESCA PASETTO;;;;;
AZIENDA;AVV.MIRKO ZAMBALDO;;;;;LEGALE
AZIENDA;AVVOCATO AUDISIO ANTONELLA;;;;;
AZIENDA;AZIENDA AGRICOLA AMBROSI S.S.;;;;;
AZIENDA;AZIENDA AGRICOLA POGGI GIORGIO;www.cantinepoggi.com;6;04/05/2018;12100;Coltivazione di uva
AZIENDA;AZIENDA VINICOLA FARINA SRL;www.farinawines .com;13;;;
AZIENDA;B! SPA;;;;;
AZIENDA;B&C LAVORAZIONI INOX SAS;;2;;;CARPENTERIA METALLICA
AZIENDA;B.F. AUTOMATION SRL;www.bfautomation.it;15;;432101;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;BALZARIN S.R.L.;www.balzarin.com;18;;255000;Fucinatura, imbutitura, stampaggio e profilatura dei metalli  metallurgia delle polveri
AZIENDA;BCUBE;www.bcube.net;;26/06/2019;2222;Fabbricazione di imballaggi in materie plastiche
AZIENDA;BDF TRANS SRL;www.bdftrans.it;;;;
AZIENDA;BDX SOUND PRODUCTS DI GIANNINI CARLO;www.bdxsound.com;2;;46431;Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video
AZIENDA;BE DIFFERENT SRL;;14;27/05/2019;600100;
AZIENDA;BEDIGITAL S.R.L.;www.bedigital.it;7;12/04/2018;620909;Altre attività dei servizi connessi alle tecnologie dell'informatica nca
AZIENDA;BEDONI SRL;;4;;692013;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività i
AZIENDA;BENBOLTS DI BENCINI SRL;www.benbocts.it;14;;;
AZIENDA;BENCAR AUTO;;;;;
AZIENDA;BENDAZZOLI LUCIO IMPIANTI ELETTROTECNICI;;;;;
AZIENDA;BENEDETTI GABRIELE ASSISTENZA TECNICA;;;;952201;Riparazione di elettrodomestici e di articoli per la casa
AZIENDA;BERGEN S.R.L.;www.bergen.it;;;;
AZIENDA;BERNER SPA;www.berner.it;360;01/06/2019;46741;Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta)
AZIENDA;BERTI AUTOTRASPORTI SRL;berti autotrasporti;61;;4941;Trasporto di merci su strada
AZIENDA;BERTI MACCHINE AGRICOLE SPA;http://www.bertima.it/it/index.php;74;07/05/2019;283090;Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia
AZIENDA;BERTON MOBILI SNC DI FELIVE E MARCO;;6;;310910;Fabbricazione di mobili per arredo domestico
AZIENDA;BETTELLI STUDIO ASSOCIATO;;4;;692011;Servizi forniti da dottori commercialisti
AZIENDA;BIEMME COMPUTERS S.R.L.;http://www.biemmecomputers.it/;;14/01/2016;;
AZIENDA;BIOLO TRASPORTI SRL;;21;;;
AZIENDA;BIOMEDICALE SRL;http://www.biomedicale.bio/;;;331303;Riparazione e manutenzione di apparecchi elettromedicali, di materiale medico-chirurgico e veterinar
AZIENDA;BIONDAN S.P.A.;http://www.biondan.it/;;;23702;Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico
AZIENDA;BIROLLI F & C SNC;;6;;;ALIMENTARI ARTIGIANATO
AZIENDA;BISSOLI F.LLI SRL;www.bissolicarrozzeria.it;10;;45202;Riparazione di carrozzerie di autoveicoli
AZIENDA;BLUE DISTRIBUTION SRL;www.bluedistribution.com;33;;464240;Commercio all'ingrosso di calzature e accessori
AZIENDA;BLUE MILK SRL;;;20/05/2019;;
AZIENDA;BMQUADRO SRL;www.bmquadro.it;1;13/03/2019;620909;Altre attività dei servizi connessi alle tecnologie dell'informatica nca
AZIENDA;BONFERRARO SPA;http://www.smeg.it/negozi/bonferraro/;;;275100;Fabbricazione di elettrodomestici
AZIENDA;BORASO STEFANO IMPIANTI ELETTRICI;;1;;;
AZIENDA;BOSCAINI SCARPE SRL;;26;;464240;
AZIENDA;BPS COMPUTER SRL;www.bpscomputer.it;;14/05/2019;474100;Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in eserc
AZIENDA;BREMBENET;;;;;
AZIENDA;BRIO S.P.A.;www.biospa.com;41;;46392;Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco
AZIENDA;BRUGI S.P.A.;www.brugi.it;;;;
AZIENDA;BRUNELLI ROBERTA VIAGGI;www.robertaviaggi.com;1;;;
AZIENDA;BRUNO SRL;www.brunosrl.net;57;;4631;Commercio all'ingrosso di frutta e ortaggi freschi o conservati
AZIENDA;BRUTTI LORENZO S.R.L.;;37;;432101;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;BUE FRANCESCA;;;;960904;Servizi di cura degli animali da compagnia (esclusi i servizi veterinari)
AZIENDA;BUSATO MORENO;;;;952100;Riparazione di prodotti elettronici di consumo audio e video
AZIENDA;C.E.R. CONSORZIO ELETTROTECNICI RIUNITI;;;;432101;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;C.I.E. SRL;http://www.cieimpiantielettricivr.com/;;;;
AZIENDA;C.L. TECH SRL;;;;;
AZIENDA;C.L.TECH SRL;www.cltechsrl.it;5;24/05/2019;;
AZIENDA;C.O.D. GROUP;www.codgroup.it;3;27/05/2019;464500;Commercio all'ingrosso di profumi e cosmetici
AZIENDA;C.P. SRL DI CUBI L. E PERINA G.;http://cubiperina.it/;;;;
AZIENDA;CAB LOG S.R.L.;;;13/05/2019;;
AZIENDA;CAD & CO SAS;;2;;;
AZIENDA;CAD IT SPA;www.caditgroup.com;491;23/05/2018;6201;Produzione di software non connesso all'edizione
AZIENDA;CALIBER SRL;www.calibersrl.it;14;;4391;Realizzazione di coperture
AZIENDA;CALZEDONIA S.P.A.;www.calzedonia.com;750;;464230;Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili
AZIENDA;CALZOLERIA LA RAPIDA;;;;952300;Riparazione di calzature e articoli da viaggio in pelle, cuoio o in altri materiali simili
AZIENDA;CAMON SPA;www.camon .it;90;28/05/2019;46499;Commercio all'ingrosso di vari prodotti di consumo non alimentare nca
AZIENDA;CAMPEGGIO SPIAGGIA D'ORO S.R.L.;www.campingsiaggiadoro.com;8;;553000;Aree di campeggio e aree attrezzate per camper e roulotte
AZIENDA;CANEVAWORLD RESORT SRL;www.canevaworld.it;;;;
AZIENDA;CANGRANDE SAS DI BRIGHENTI G & C;www.cangrandeauto.it;8;;829999;Altri servizi di sostegno alle imprese nca
AZIENDA;CARRARO NICOLA;;;;;
AZIENDA;CARROZZERIA IMPERIA;;;;;
AZIENDA;CASA DI RIPOSO B. ALBERTINI;wwwcralbertini.it;;31/05/2019;;
AZIENDA;CASAESPORT DI LAURA BELTRAME;www.casaesport.it;1;;475999;Commercio al dettaglio di altri articoli per uso domestico nca
AZIENDA;CASAGRANDE ELETTROCOSTRUZIONI S.P.A.;;;;;
AZIENDA;CASSIANI TECNOLOGIE SRL;www.cassianitecnologie.it;7;;282992;Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico
AZIENDA;CAZZADOR IMPIANTI ELETTRICI;;;18/05/2019;432101;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;CENIGOMMA SRL UNIPERSONALE;www.arroweld.it;48;;;
AZIENDA;CENTRO AUTO E FUORISTRADA S.R.L.;;50;;;
AZIENDA;CENTRO FORMAZIONE EXTRA SCOLASTICA E CULTURALE IO COMPUTER;www.io-computer.it;2;;;
AZIENDA;CENTRO RICAMBI VERONA SRL;;;29/01/2015;;
AZIENDA;CENTRO UFFICIO S.N.C.;www.centroufficio.it/;7;22/05/2019;;
AZIENDA;CENTROFER STIZZOLI S.R.L.;www.centrofer.it;20;;47199;Empori ed altri negozi non specializzati di vari prodotti non alimentari
AZIENDA;CERPELLONI  S.R.L.;;5;;432201;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
AZIENDA;CERPELLONI GIOVANNI (DITTA INDIVIDUALE);;;;432201;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
AZIENDA;CESPED S.P.A.;www.cesped.it;;;;
AZIENDA;CGIL CAMERA DEL LAVORO TERRITORIALE DI VERONA;www.cgilverona.it;30;;942000;Attività dei sindacati di lavoratori dipendenti
AZIENDA;CHIARINI AUTOMAZIONI S.R.L. A SOCIO UNICO;www.chiariniautomazioni.it;10;;;
AZIENDA;CIAT ITALIA SRL;www.cipriani-phe.com;;;;
AZIENDA;CICE CENTRO ITALO-IRANIANO DI COOPERAZIONE CULTURALE ED ECONOMICA;cice.eu;1;;829999;Altri servizi di sostegno alle imprese nca
AZIENDA;CIEMME  SAS;;1;;;
AZIENDA;CIESSE SPA;www.ciessespa.it;100;;;
AZIENDA;CIN CIN BAR DI CHIARAMONTE MONICA;;2;17/05/2018;;
AZIENDA;CINQUANTA SRL;;;;;
AZIENDA;CIRCOLO IPPICO PULE ASD;circoloippicopule.it;2;;;
AZIENDA;CITTA' DEL SOLE S.R.L.;;;;;
AZIENDA;CIZETA SOCIETA' AGRICOLA SEMPLICE;;4;06/07/2018;13;RIPRODUZIONE DELLE PIANTE
ASSOCIAZIONE;CLUBTI-TRIVENETO;;;;;
AZIENDA;CLX EUROPE SPA;www.clxeurope.com;157;;;
AZIENDA;CM TRASPORTI SRL;;;07/05/2019;375432;
AZIENDA;COLOMBO 3000 DI LINO MASSAGRANDE;http://colombo3000.com/;5;14/01/2016;741021;Attività dei disegnatori grafici di pagine web
AZIENDA;COLOMBO 3000 SRL;www.colombo3000.com;6;23/03/2018;6201;Produzione di software non connesso all'edizione
AZIENDA;COLORIFICIO A E B CASATI SPA;;67;;;
AZIENDA;COMBICARGO SRL;;4;;4941;Trasporto di merci su strada
AZIENDA;COMET SPA;;27;;;
AZIENDA;COMITATO BENEFICO SOMMAVIVA;;;;949990;Attività di altre organizzazioni associative nca
AZIENDA;COMITEL SRL;http://www.comitel.com/;;18/05/2019;;
AZIENDA;COMM.INTERLOGISTICA SRL;;123;;522922;Servizi logistici relativi alla distribuzione delle merci
AZIENDA;COMPITALIA SRL;http://www.compitalia.eu/;2;;474100;Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in eserc
AZIENDA;COMPU-NET SRL;www.compu-net.it;;28/05/2019;4651;Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software
AZIENDA;COMPUTER OMNIA DI SANTAGIULIANA FABIO;;;;;
AZIENDA;COMPUTERS CENTER S.N.C.;http://www.computerscenter.com;11;;;
ENTE PUBBLICO;COMUNE DI BADIA CALAVENA;;10;;841110;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
ENTE PUBBLICO;COMUNE DI BOVOLONE;www.bovolone.gov.it;76;14/05/2018;841110;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
ENTE PUBBLICO;COMUNE DI BUSSOLENGO;;110;;841110;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
ENTE PUBBLICO;COMUNE DI CALDIERO;www.comune.caldiero.vr.it;19;;;
AZIENDA;COMUNE DI CAVAION VERONESE;www.comunecavaion.it;24;;;
ENTE PUBBLICO;COMUNE DI NEGRAR;comunenegrar.it;;;;
ENTE PUBBLICO;COMUNE DI PESCHIERA;;42;;;
ENTE PUBBLICO;COMUNE DI SAN GIOVANNI LUPATOTO;www.comune.sangiovannilupatoto.vr.it;;29/12/2015;;
ENTE PUBBLICO;COMUNE DI SAN PIETRO IN CARIANO;www.comune.sanpietroincariano.vr.it;;;841110;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
AZIENDA;COMUNE DI SANT'AMBROGIO DI VALPOLICELLA;www.comune.santambrogio.it;;;841110;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
ENTE PUBBLICO;COMUNE DI VERONA;;2009;;841110;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
AZIENDA;COMUNE DI ZEVIO;www.comune.zevio.vr.it;;;;
AZIENDA;CONSOLINI ERMANNO;;;;;
AZIENDA;CONSORZIO AGRARIO DEL NORD EST;http://www.agrinordest.it/;;17/12/2015;;
AZIENDA;CONSORZIO GOLDBERG GESTIONI SOCIETA' COOPERATIVA;;14;;;
AZIENDA;CONSORZIO ZAILOG;www.zailog.it;3;;;
AZIENDA;CONTI SISTEMI VERONA SRL;www.conti-sistemi.com;5;09/05/2019;432101;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;COOP. SERVICE SOCIETA' COOPERATIVA;www.coopservice.info;15;12/12/2018;522440;Movimento merci relativo ad altri trasporti terrestri
COOPERATIVA;COOPERATIVA SOCIALE GALILEO SCARL;;126;28/04/2018;822;ATTIVITÀ DEI CALL CENTER
COOPERATIVA;COOPERATIVA SOCIALE SI-FA;www.si-fa.com;30;27/05/2019;;
;COPYGRAPH SRL;www.copygraph.it;15;;;
ASSOCIAZIONE;CORPO BANDISTICO COMUNE DI NEGRAR;www.bandanegrar.it;55;;;
AZIENDA;CORRA' SICUREZZA S.R.L.;;;;;
AZIENDA;CORRADI CARLO CARPENTERIA METALLICA;;3;20/05/2019;251100;Fabbricazione di strutture metalliche e parti assemblate di strutture
AZIENDA;CORRADO BENEDETTI SRL;www.corradobenedetti.it;2;20/05/2019;47291;Commercio al dettaglio di latte e di prodotti lattiero-caseari
AZIENDA;CORSI S.P.A.;www.corsispa.it;;;;
AZIENDA;CORSINI COMMERCIO CANCELLERIA SRL;http://www.corsinioffice.it/;30;;46491;Commercio all'ingrosso di carta, cartone e articoli di cartoleria
AZIENDA;CORTE GIARA S.R.L.;www.cortegiara.com;38;;;
AZIENDA;COSTRUZIONE METALLICHE BERTAGNOLI RENATO;;13;18/05/2019;2511;Fabbricazione di strutture metalliche e di parti di strutture
AZIENDA;CREACTIVES S.P.A.;;37;20/05/2019;62010;Produzione di software non connesso all'edizione
AZIENDA;CREATIVE ADV SNC;;2;16/10/2017;731101;Ideazione di campagne pubblicitarie
ASSOCIAZIONE;CROCE BIANCA VERONA;;10;13/05/2019;;
AZIENDA;CROCE VERDE PAV VERONA; www.croceverdeverona.org;75;;;
AZIENDA;CSLAB DI CHIARA FRANCESCA STORTI;chiarastorti.it;;;620200;Consulenza nel settore delle tecnologie dell'informatica
AZIENDA;CTM ALTROMERCATO;www.altromercato.it;92;;463920;Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco
AZIENDA;CUSIMANO GIUSEPPE;;4;;;
AZIENDA;CWS SRL;www.cws.it;74;;631111;Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf)
AZIENDA;D.E.C.A. SISTEM SRL;http://www.dallora.it/d-e-c-a-system/;15;17/05/2018;2712;Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
AZIENDA;DA.CA.BO. ANTINCENTIO SAS;;;23/04/2018;;
AZIENDA;DAL BARCO SRL;www.dalbarco.it;17;;;
AZIENDA;DAL CORSO IVO  (DITTA INDIVIDUALE );www.dalcorsoivo.it;;;467329;Commercio all'ingrosso di altri materiali da costruzione
AZIENDA;DALLA PIAZZA S.R.L.;;6;11/06/2019;432101;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;DARWINNET SRL;www.darwinnet.it;2;;6202;Consulenza nel settore delle tecnologie dell'informatica
AZIENDA;DATA CHECK;www.datacheck.it;10;;63111;Elaborazione dati
AZIENDA;DATEL DI SALADINO SALVATORE;www.datelsistemi.com;4;08/02/2019;432102;Installazione di impianti elettronici (inclusa manutenzione e riparazione)
AZIENDA;DE NALE ANGELO - AUTOFFICINA;;;27/05/2019;45201;Riparazioni meccaniche di autoveicoli
