Ragione_sociale;tipo;comune;provincia;nazione;indirizzo;cap;telefono;mail;sito;ndip;data_conv;indirizzo_studio;cod_ateco
OLMA DI DUSI RENATO;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@01mavr.it;;;27/05/2019;indirizzo_studio;282
VALDOTECH S.A.S.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456800068;domenico.zantedeschi@gmail.com;www.valdotech.com;3;20/05/2019;indirizzo_studio;
VALDOTECH S.A.S.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456800068;domenico.zantedeschi@gmail.com;www.valdotech.com;3;20/05/2019;indirizzo_studio;
BEDIGITAL S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458352440;amministrazione@bedigital.it;www.bedigital.it;7;12/04/2018;indirizzo_studio;620909
NEXTFLOW SRLS;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@nextflow;www.nextflow.it;;27/05/2019;indirizzo_studio;467429
ELECTRONIC SERVICE ITALIA S.R.L.;CONSORZIO;comune;VR;nazione;indirizzo;cap;0456901425;info@es-i.it;http://www.electronicserviceitalia.it/;;16/05/2019;indirizzo_studio;
TECH ASSIST. SRLS;AZIENDA;comune;VR;nazione;indirizzo;cap;0452222884;info@tech-assist.it;www.tech-assist.it;2;23/05/2019;indirizzo_studio;9511
LIBRERIA JOLLY DEL LIBRO DI DE SIGNORI CLAUDIO;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@libreriajolly.it;www.libreriajolly.it;2;03/06/2019;indirizzo_studio;476100
START WEB DI MATTEO CANDIO;AZIENDA;comune;VR;nazione;indirizzo;cap;3337464084;info@start-web.it;www.start-web.it;;;indirizzo_studio;6201
RINALDI SIDERURGICA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456303131;rinsider@rinaldisiderurgica.it;;15;15/05/2019;indirizzo_studio;
GRUPPO BERTOLASO SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0442 450111;aruffo@bertolaso.com;www.bertolaso.com;;27/05/2019;indirizzo_studio;2893
CORRADI CARLO CARPENTERIA METALLICA;AZIENDA;comune;VR;nazione;indirizzo;cap;0458802115;carpenteriametallicacorr@tin.it;;3;20/05/2019;indirizzo_studio;251100
IDRAULICA CIVILE SRLS;AZIENDA;comune;VR;nazione;indirizzo;cap;;;;;28/05/2019;indirizzo_studio;432201
ISGROUP SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0454853232;francesco.ongaro@isgroup.it;www.isgroup.it;;17/12/2018;indirizzo_studio;6201
TX LOGISTIK AG;AZIENDA;comune;BZ;nazione;indirizzo;cap;0458624614;s.avesani@txlogistik.eu;;51;30/05/2019;indirizzo_studio;
TOLA & C. SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458960332;amministrazione@tolaimpianti.it;;;27/05/2019;indirizzo_studio;432101
INTESYS  S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458205513;alessandro.cortiana@intesys.it;ww.intesys.it;;27/05/2019;indirizzo_studio;6209
BE DIFFERENT SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458538775;hr@dodifferent.it;;14;27/05/2019;indirizzo_studio;600100
ERMES SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045991245;alessia@ermes-vr.it;www.ermes-vr.it;;15/04/2019;indirizzo_studio;
DLL SYSTEM S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;3357294894;diegofincato@dllsystem.it;;;27/05/2019;indirizzo_studio;
MIOINDIRIZZO SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0459200030;info@mioindirizzo.com;www.avelia.it;7;20/05/2019;indirizzo_studio;
DOTTOR MARC SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0455118550;info@dottormarc.it;www.dottormarc.it;;20/05/2019;indirizzo_studio;620200
ISACCO ROSSI;AZIENDA;comune;VR;nazione;indirizzo;cap;;ir.isacco.rossi@gmail.com;;;27/05/2019;indirizzo_studio;620100
MONDO PC SNC;AZIENDA;comune;VR;nazione;indirizzo;cap;045518086;mail@mondo-pc.it;http://www.mondo-pc.it/mondo-pc;;;indirizzo_studio;
16 TELEFONIA SAS;AZIENDA;comune;VR;nazione;indirizzo;cap;0456930482;16telefonia@gmail.com;;1;;indirizzo_studio;
ALPEGO S.P.A.;AZIENDA;comune;VI;nazione;indirizzo;cap;0444646100;  valeria.zanin@alpego.com;www.alpego.com;86;;indirizzo_studio;28309
EDULIFE S.P.A.;AZIENDA;comune;VR;nazione;indirizzo;cap;0459696300;l.soato@edulife.it;www.edulife.it;12;16/05/2019;indirizzo_studio;620100
PASTIFICIO RANA S.P.A.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458587311;mbugna@rana.it;www.rana.it;1000;;indirizzo_studio;
ARTIGIANA NEW DI PERTILE RENATO;AZIENDA;comune;VR;nazione;indirizzo;cap;;artigiananew@virgilio.it;;;23/05/2019;indirizzo_studio;2711
INFIND SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 6750055;info@infind.it;;28;07/06/2019;indirizzo_studio;28992
MAURELLI SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0452478103;francesca@maurelli.it;;;;indirizzo_studio;
FRACAROLLI FLLI SNC;AZIENDA;comune;VR;nazione;indirizzo;cap;045 7150838;info@fracarolli.it;;;13/05/2019;indirizzo_studio;45201
FOTO OTTICA DE FORTUNA SNC;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@otticadefortuna.it;;;27/05/2019;indirizzo_studio;742
VIRTUAL LAND SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458342964;;www.virtual-land.eu;;27/05/2019;indirizzo_studio;631119
VIRTUAL LAND SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458342964;;www.virtual-land.eu;;27/05/2019;indirizzo_studio;631119
MANNI SIPRE SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;;ilaria.bigagnoli@mannigroup.com;www.mannisipre.com;;27/05/2019;indirizzo_studio;251100
FABER ELETTRONICA S.N.C. DI FATTORI A. E BERTIN C.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456151945;info@faber-elettronica.it;http://www.faber-elettronica.it/;;23/05/2019;indirizzo_studio;
BMQUADRO SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0459971290;info@bmquadro.it;www.bmquadro.it;1;13/03/2019;indirizzo_studio;620909
RTC SPA;AZIENDA;comune;ZEVIO VR;nazione;indirizzo;cap;0458738711;luca.mingon@rtc-spa.it;www.rtc-spa.it;47;08/10/2018;indirizzo_studio;9511
FRANKE SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0456449422;job.it@franke.com;;300;15/05/2019;indirizzo_studio;255
GP GARAGE;AZIENDA;comune;VR;nazione;indirizzo;cap;3471522786;info@gpgarage.it;www.gpgarage.it;;27/05/2019;indirizzo_studio;452010
COMUNE DI VERONA;ENTE PUBBLICO;comune;VR;nazione;indirizzo;cap;0458077400;tirocini.lavoro@comune.verona.it;;2009;;indirizzo_studio;841110
ANTOLINI TRASPORTI SPEDIZIONI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;paola@antolinitrasporti.it;;48;10/06/2019;indirizzo_studio;4941
HASLERRAIL ITALIA SSRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456304558;lucia.campo@haslerrail.com;www.haslerrail.com;70;;indirizzo_studio;332003
AGEC AZIENDA GESTIONE EDIFICI COMUNALI DEL COMUNE DI VERONA;AZIENDA;comune;VR;nazione;indirizzo;cap;0458051311;sezionepersonale@agec.it;;505;15/05/2019;indirizzo_studio;562910
CROCE BIANCA VERONA;ASSOCIAZIONE;comune;VR;nazione;indirizzo;cap;0458033700;controller@crocebiancavr.it;;10;13/05/2019;indirizzo_studio;
ESSEPI PROFESSIONAL SERVICE DI PUVANARATNAM SANGEEVAN;AZIENDA;comune;VR;nazione;indirizzo;cap;3207487229;info@essepi.org;www.essepi.org;1;;indirizzo_studio;
TELEPOINT SNC;AZIENDA;comune;VR;nazione;indirizzo;cap;0456260513;info@telepointservice.com;;;;indirizzo_studio;
VIRTUAL LAND SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458342964;;www.virtual-land.eu;;27/05/2019;indirizzo_studio;631119
CASA DI RIPOSO B. ALBERTINI;AZIENDA;comune;VR;nazione;indirizzo;cap;0457301562;direzione@cralbertini.it;wwwcralbertini.it;;31/05/2019;indirizzo_studio;
TIME SYSTEM COSTRUZIONI ELETTRICHE SNC;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@timesystem.it;;11;30/05/2019;indirizzo_studio;432101
SERVIZI AGRICOLI INFORMATIZZATI;AZIENDA;comune;VR;nazione;indirizzo;cap;;stevani.sara@aicvr.it;;7;13/05/2019;indirizzo_studio;63111
FULCRO SRL UNIPERSONALE;AZIENDA;comune;VR;nazione;indirizzo;cap;0458890026;info@fulcro.net;www.fulcro.net;1;23/05/2019;indirizzo_studio;
FORNO BONOMI S.P.A.;AZIENDA;comune;VR;nazione;indirizzo;cap;045/6509300;info@fornobonomi.com;www.fornobonomi.com/it/contatti;160;20/05/2019;indirizzo_studio;10720
FULCRO SRL UNIPERSONALE;AZIENDA;comune;VR;nazione;indirizzo;cap;0458890026;info@fulcro.net;www.fulcro.net;1;23/05/2019;indirizzo_studio;
ZAMPINI GIUSEPPE SNC DI ZAMPINI CLAUDIO E F.LLI;AZIENDA;comune;VR;nazione;indirizzo;cap;0457151396;;;8;;indirizzo_studio;47192
VICENTINI SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0452085111;sara.modena@vicentini.it;http://www.vicentini.it/ita/;;20/05/2019;indirizzo_studio;
DSV SPA;AZIENDA;comune;MI;nazione;indirizzo;cap;0321382270;andrea.codini@it.dsv.com;;65;10/05/2019;indirizzo_studio;52291
NETSYSCO SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456838352;amministrazione@netsysco.net;www.netsysco.net;6;28/02/2019;indirizzo_studio;4651
DIRTY WHELLS SNC DI BENINI STEFANO E COATI FEDERICO;AZIENDA;comune;VR;nazione;indirizzo;cap;0452227636;info@dirtywheels.it;;;13/05/2019;indirizzo_studio;454011
NOVA SYSTEMS SERVICES S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458788211;bavesani@novasystems.it;;;;indirizzo_studio;
REDORO S.R.L. FRANTOI VENETI;AZIENDA;comune;VR;nazione;indirizzo;cap;045907622;amministrazione@redoro.it;www.redoro.it;12;22/05/2018;indirizzo_studio;463320
FOR.MECH SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 8802122;;;16;20/05/2019;indirizzo_studio;256200
MOSCONI GOMME SERVICE SAS;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@mosconigomme.it;www.mosconigomme.it;8;20/05/2019;indirizzo_studio;452040
DATEL DI SALADINO SALVATORE;AZIENDA;comune;VR;nazione;indirizzo;cap;045504225;info@datelsistemi.com;www.datelsistemi.com;4;08/02/2019;indirizzo_studio;432102
HIKARI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458018058;amministrazione@hikavi.eu;www.hikari.eu;10;;indirizzo_studio;274009
DIELETTRIC S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458550548;info@dielettric.it;;;29/05/2019;indirizzo_studio;
CAD IT SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0458211111;risorseumane@caditgroup.comroup.com;www.caditgroup.com;491;23/05/2018;indirizzo_studio;6201
FARMACIA CENTRALE  DOTT. SIGNORINI SNC;AZIENDA;comune;VR;nazione;indirizzo;cap;;info @farmaciasignorini.it;www.farmaciasignorini.it;19;27/05/2019;indirizzo_studio;47731
AUTOFFICINA SGANZERLA MAURIZIO;AZIENDA;comune;VR;nazione;indirizzo;cap;0456954002;mauriziosganz@gmail.com;;5;24/06/2019;indirizzo_studio;
OMV MACHINERY SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458394444;info@omvgroup.com;;47;24/05/2019;indirizzo_studio;282920
A VARITT SRL;AZIENDA;comune;FI;nazione;indirizzo;cap;3485991723;;www.varitt.it;;06/04/2019;indirizzo_studio;61901
COOPERATIVA SOCIALE SI-FA;COOPERATIVA;comune;VR;nazione;indirizzo;cap;3296543586;sifa.coop@gmail.com;www.si-fa.com;30;27/05/2019;indirizzo_studio;
LIBRERIA JOLLY DEL LIBRO DI DE SIGNORI CLAUDIO;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@libreriajolly.it;www.libreriajolly.it;2;03/06/2019;indirizzo_studio;476100
CENTRO UFFICIO S.N.C.;AZIENDA;comune;VR;nazione;indirizzo;cap;0457135441;info@centroufficio.it;www.centroufficio.it/;7;22/05/2019;indirizzo_studio;
CENTRO UFFICIO S.N.C.;AZIENDA;comune;VR;nazione;indirizzo;cap;0457135441;info@centroufficio.it;www.centroufficio.it/;7;22/05/2019;indirizzo_studio;
CENTRO UFFICIO S.N.C.;AZIENDA;comune;VR;nazione;indirizzo;cap;0457135441;info@centroufficio.it;www.centroufficio.it/;7;22/05/2019;indirizzo_studio;
FINCONS SPA;AZIENDA;comune;MI;nazione;indirizzo;cap;0458799299;michele.moretti@finconsgroup.com;www.finconsgroup.com;960;;indirizzo_studio;620200
STI  SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0442537135;ufficiodelpersonale@stispa.it;;73;29/03/2018;indirizzo_studio;494100
DM CONSULTING SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;04421866161;info@dmconsulting.it;ww.dmconsulting.it;8;06/05/2019;indirizzo_studio;63111
6 COM SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 8751430;info@6comsrl.it;;12;06/05/2019;indirizzo_studio;93293
LINPAC PACKAGING VERONA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0459216411;marta.prati@linpac.com;www.linpac.com;82;29/04/2019;indirizzo_studio;222200
SIPRO S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045508822;ivo.tommasini@sipro.vr.it;http://www.sipro.vr.it/web/index.html;36;;indirizzo_studio;332003
TB DI BOMPIERI TIZIANO;AZIENDA;comune;VR;nazione;indirizzo;cap;;bombieritiziano@libero.it;;;27/05/2019;indirizzo_studio;25993
EU WINGS SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;;;;20/05/2019;indirizzo_studio;
CERPELLONI  S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045532612;info@cerpelloni.com;;5;;indirizzo_studio;432201
CAZZADOR IMPIANTI ELETTRICI;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@cazzadorimpianti.it;;;18/05/2019;indirizzo_studio;432101
AGRATI-FSP SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458515811;info-fsp@agrati.com;;52;10/05/2019;indirizzo_studio;46741
DIRTY WHELLS SNC DI BENINI STEFANO E COATI FEDERICO;AZIENDA;comune;VR;nazione;indirizzo;cap;0452227636;info@dirtywheels.it;;;13/05/2019;indirizzo_studio;454011
TMB SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458774299;tmb@tmbvac.it;www.tmbvacuum.com;27;10/05/2019;indirizzo_studio;282999
MYMB SRL;AZIENDA;comune;LU;nazione;indirizzo;cap;045 6899700;mymb.amministrazione@timegroup.it;www.my-mb.it;8;07/05/2019;indirizzo_studio;620909
DIGITALE FORGE VERONA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 117788;AMMINISTRAZIONE@DIGITALFORGE.IT;DIGITALFORGE.IT;3;02/05/2019;indirizzo_studio;4651
IMAGE SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;weconcept@weconcept.it;www.imagecreations.it;5;13/06/2019;indirizzo_studio;181300
RIGO SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 60804000;;www.rigoelettroimpianti.it;6;09/05/2019;indirizzo_studio;432101
AUTORICAMBI RACING SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 528345;info@negrente.com;;;10/05/2019;indirizzo_studio;
DS SMITH PACKAGING ITALIA SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0456649711;andreina.fama@dssmith.com;www.dssmith.com/it/packaging;;04/07/2019;indirizzo_studio;17210
COMUNE DI VERONA;ENTE PUBBLICO;comune;VR;nazione;indirizzo;cap;0458077400;tirocini.lavoro@comune.verona.it;;2009;;indirizzo_studio;841110
SIA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045512900;info@siavr.it;www.siavr.it;37;18/05/2019;indirizzo_studio;6201
RED DI DONATELLI NICOLA;AZIENDA;comune;VR;nazione;indirizzo;cap;0457901340;;;8;16/05/2019;indirizzo_studio;952201
INFOLAB DATA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0455117307;info@infolabdata.it;ww.infolabdata.it;5;27/03/2019;indirizzo_studio;9511
AUTOSCUOLA ARENA DI MARTORANA BENEDETTO E C. SAS;AZIENDA;comune;VR;nazione;indirizzo;cap;;autoscuolaarena@hotmail.com;;;23/05/2019;indirizzo_studio;8553
AUTOTRASPORTI TEZZA CLEMENTE SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045907434;info@tezzaautotrasporti.it;www.tezzaautotrasporti.it;18;10/05/2019;indirizzo_studio;4941
COOP. SERVICE SOCIETA' COOPERATIVA;AZIENDA;comune;BS;nazione;indirizzo;cap;0302594360;info@coopservice.info;www.coopservice.info;15;12/12/2018;indirizzo_studio;522440
KUEHNE + NAGEL SRL;AZIENDA;comune;MI;nazione;indirizzo;cap;0458588526;info.verona@kuehne-nagel.com;;;27/05/2019;indirizzo_studio;
Q-TEK SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0454732083;info@q-tek.it;http://www.q-tek.it/it/;;13/05/2019;indirizzo_studio;
COMITEL SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045500577;ufficio.tecnico@comitel.com;http://www.comitel.com/;;18/05/2019;indirizzo_studio;
RFI RETE FERROVIARIA ITALIANA;AZIENDA;comune;VR;nazione;indirizzo;cap;;;;;;indirizzo_studio;
TECNAUTO DI FASOLI FLAMINIO;AZIENDA;comune;VR;nazione;indirizzo;cap;0458103628;;;1;;indirizzo_studio;452010
MODENINI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0457363899;info@modenini.it;www.modenini.it;8;20/05/2019;indirizzo_studio;452010
REWAL S.N.C. DI MILANI E REGGIANI;AZIENDA;comune;VR;nazione;indirizzo;cap;0457514944;inforewal@rewal.it;http://www.rewal.it/;;24/05/2019;indirizzo_studio;432101
STM PRODUCTS S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045585700;info@stm-products.com ;http://www.stm-products.com/it/;;16/05/2019;indirizzo_studio;
VERONA REV SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 506688;info@veronarevsrl.it;;1;02/05/2019;indirizzo_studio;712021
ELETTROMECCANICA GARDESANA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 7550666;info@elettromeccanicagardesana.it;www.elettromeccanicagardesana.it;5;13/05/2019;indirizzo_studio;432909
FORNACE S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456800977;info@fornacestudio.com;www.fornacestudio.com;5;16/05/2019;indirizzo_studio;741021
ACLI PROVINCIALI DI VERONA;AZIENDA;comune;VR;nazione;indirizzo;cap;0459275000;martina.tommasi@acliverona.it;www.acliverona.it;4;24/05/2019;indirizzo_studio;949910
NEUFRA SPEDIZIONI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458774111;verona@neufra.it;www.neufraspedition.de;8;27/05/2019;indirizzo_studio;52291
MOTOR SERVICE SAS DI CARMINE MUTO & C.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456700685;;;2;22/05/2019;indirizzo_studio;42202
UNIVERSITA' DEGLI STUDI DI VERONA;UNIVERSIT�;comune;VR;nazione;indirizzo;cap;0458027071;segreteria.di@ateneo.univr.it ;www.di.univr.it;40;;indirizzo_studio;8542
ACCIAIERIE DI VERONA;AZIENDA;comune;UD;nazione;indirizzo;cap;0458058515;riccardo.olivieri@pittini.it;;350;14/03/2018;indirizzo_studio;241000
VICENTINI SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0452085111;sara.modena@vicentini.it;http://www.vicentini.it/ita/;;20/05/2019;indirizzo_studio;
ECONOMICS LIVING LAB;ASSOCIAZIONE;comune;VR;nazione;indirizzo;cap;3473201905;info@econlivlab.eu;www.econlivlab.eu;;27/05/2019;indirizzo_studio;46722
BRUTTI LORENZO S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458181211;bruttilorenzo@bruttilorenzo.it;;37;;indirizzo_studio;432101
BERTI MACCHINE AGRICOLE SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0456139711;info@bertima.it;http://www.bertima.it/it/index.php;74;07/05/2019;indirizzo_studio;283090
STUDIO DENTISTICO DR LANZAFAME;AZIENDA;comune;VR;nazione;indirizzo;cap;3474752910;info@drlanzafame.com;;;22/05/2019;indirizzo_studio;
COMUNE DI BADIA CALAVENA;ENTE PUBBLICO;comune;VR;nazione;indirizzo;cap;045/7810503;protocollo@comune.badiacalavena.vr.it;;10;;indirizzo_studio;841110
IRRIPLUS SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;;;5;13/06/2019;indirizzo_studio;47524
SINAI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458753516;info@sinai.it;www.sinai.it;3;27/05/2019;indirizzo_studio;332003
CONTI SISTEMI VERONA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0457080148;info@contisistemi.it;www.conti-sistemi.com;5;09/05/2019;indirizzo_studio;432101
CAMON SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0456608511;camon@camon.it;www.camon .it;90;28/05/2019;indirizzo_studio;46499
COMPU-NET SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;omar.borgatti@compu-net.it;www.compu-net.it;;28/05/2019;indirizzo_studio;4651
TELEFIN SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0458100404;info@telefin.it;www.telefin.it;56;26/03/2019;indirizzo_studio;263029
C.O.D. GROUP;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@coudgroup.it;www.codgroup.it;3;27/05/2019;indirizzo_studio;464500
ELECTRO BS DI HACHEL SABER;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@electro-bs.com;www.electro-bs.com;1;;indirizzo_studio;
TERRANOVA SRL;AZIENDA;comune;FI;nazione;indirizzo;cap;;l.cortese@terranovasoftware.eu;www.terranovasoftware.eu;;27/05/2019;indirizzo_studio;266002
DALLA PIAZZA S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045984722;dalla.piazza@tin.it;;6;11/06/2019;indirizzo_studio;432101
GARDALAND SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456449839;hr@gardaland.it;www.gardaland.it;202;24/01/2019;indirizzo_studio;932100
